complaint_text,category,subcategory,,,,
“I was extorted by the security officer to avoid getting fined for an unclear reason.”,Security,Harassment/extortion by security Personal/railway person,,,,
“The railway officer demanded money to allow me to travel with my luggage safely.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A guard harassed me, asking for money to allow me to sit in the reserved compartment.”",Security,Harassment/extortion by security Personal/railway person,,,,
“I was forced to pay a bribe by a security officer to avoid getting reported for an alleged seat issue.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A railway personnel harassed my family, demanding money to allow us to stay in the sleeper class.”",Security,Harassment/extortion by security Personal/railway person,,,,
“The security officer extorted me by asking for money to secure a berth in the AC coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A guard harassed me, demanding a bribe to let me stay in the ladies’ compartment.”",Security,Harassment/extortion by security Personal/railway person,,,,
“The railway personnel demanded money to avoid reporting a fake violation related to my luggage.”,Security,Harassment/extortion by security Personal/railway person,,,,
“I was extorted by a security officer who said I had to pay to stay in the sleeper coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
“The railway staff harassed me by demanding money to allow me to stay in the reserved coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
“A guard demanded a bribe to allow me to access the upper berth in the AC coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The railway personnel extorted me, claiming I needed to pay extra to avoid any issues with my ticket.”",Security,Harassment/extortion by security Personal/railway person,,,,
“I was harassed by a security guard who asked for money to confirm my seat allocation in the train.”,Security,Harassment/extortion by security Personal/railway person,,,,
“The guard demanded money to avoid getting reported for an unclear ticket issue.”,Security,Harassment/extortion by security Personal/railway person,,,,
“A railway officer harassed me by asking for a bribe to confirm my entry into the reserved coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
“I was extorted by a railway personnel to allow me to travel without any interruptions during the journey.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The security personnel harassed me, asking for money to avoid any issues with my luggage.”",Security,Harassment/extortion by security Personal/railway person,,,,
“A guard demanded money to allow me to sit in the ladies’ compartment without being disturbed.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The railway officer extorted me, claiming I had to pay extra for storing my luggage.”",Security,Harassment/extortion by security Personal/railway person,,,,
“I was forced to pay a bribe by the guard to avoid getting fined for an unclear violation.”,Security,Harassment/extortion by security Personal/railway person,,,,
“The railway personnel demanded money to confirm my seat in the reserved coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A security officer harassed me, asking for money to allow me to travel without any disturbances.”",Security,Harassment/extortion by security Personal/railway person,,,,
“I was extorted by a guard who said I had to pay extra to avoid a false fine.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The railway officer harassed me, demanding money to confirm my seat allocation.”",Security,Harassment/extortion by security Personal/railway person,,,,
“A guard asked for a bribe to allow me to stay in the sleeper coach during the journey.”,Security,Harassment/extortion by security Personal/railway person,,,,
“I was forced to pay a bribe by the railway personnel to avoid getting fined for an unclear issue.”,Security,Harassment/extortion by security Personal/railway person,,,,
“The security personnel harassed me by asking for money to secure a berth in the AC coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A railway officer extorted me, demanding money to confirm my seat in the ladies’ compartment.”",Security,Harassment/extortion by security Personal/railway person,,,,
“I was harassed by a security officer who asked for money to avoid any disturbances during the journey.”,Security,Harassment/extortion by security Personal/railway person,,,,
“A guard demanded money to let me travel in the reserved coach despite having a valid ticket.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The railway personnel harassed me, asking for a bribe to allow me to access the upper berth in the train.”",Security,Harassment/extortion by security Personal/railway person,,,,
“The constant presence of hawkers in the coach made the journey uncomfortable.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A group of beggars kept disturbing passengers, demanding money aggressively.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs boarded the train and harassed passengers for money throughout the journey.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The hawkers were selling items loudly, disrupting our sleep during the night.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars repeatedly entered our compartment, begging persistently.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were threatening passengers if they didn’t give money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers blocked the aisles with their carts, making it hard to move around.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“The beggars kept coming into the coach, making it an unpleasant experience.”",Security,Harassment/extortion by security Personal/railway person,,,,
“A group of eunuchs made everyone uncomfortable by demanding money forcefully.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers entered the reserved compartments and created a lot of noise.”,Security,Harassment/extortion by security Personal/railway person,,,,
“The constant presence of beggars was annoying and disrupted the journey.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Eunuchs were creating a nuisance, harassing passengers for money.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were selling goods without any regulation, disturbing passengers.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the ladies’ coach, making passengers uncomfortable.”",Security,Harassment/extortion by security Personal/railway person,,,,
“A large group of eunuchs boarded the train and threatened passengers for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The hawkers kept shouting and selling products, creating too much noise.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars continued to come in, asking for money, and would not leave passengers alone.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs entered our coach and harassed passengers aggressively for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were crowding the coach, making it difficult to walk.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars disturbed passengers by repeatedly asking for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“A group of eunuchs created a nuisance by demanding money loudly and threatening passengers.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“The hawkers entered even the reserved compartments, making it hard to relax.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars kept entering and disrupting the peace by constantly begging for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs made passengers uncomfortable with their aggressive behavior.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers were creating too much disturbance with their constant yelling.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the coach, making the journey unpleasant.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were harassing passengers for money throughout the journey.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers blocked the passage, and it was difficult to move with their goods everywhere.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars were roaming in the sleeper class, asking for money from every passenger.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs threatened passengers with offensive gestures to get money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers were making the coach too noisy with their loud sales pitches.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars were disturbing passengers by begging persistently.”,Security,Harassment/extortion by security Personal/railway person,,,,
“A group of eunuchs created an uncomfortable atmosphere by demanding money aggressively.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were selling items right in front of the passengers’ seats, making it inconvenient.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering and asking for money, creating a nuisance.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs made passengers feel unsafe with their threatening behavior.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers entered the train and crowded the compartments with their goods.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars kept bothering passengers by repeatedly asking for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs boarded the train and threatened passengers who didn’t give them money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were selling goods inside the coach, disturbing passengers.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars were constantly roaming and begging, making passengers uncomfortable.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were harassing passengers and forcing them to give money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers were creating too much noise with their constant sales talk.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars entered the train multiple times, making it hard to relax.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs made threatening gestures and demanded money aggressively.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers entered the train and started selling items loudly, disturbing everyone.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars kept coming into the coach and asking for money repeatedly.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs boarded the train and made passengers uncomfortable with their behavior.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were blocking the aisles with their goods, making it hard to walk.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars were disturbing passengers by persistently begging for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“A group of eunuchs threatened passengers who didn’t give them money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were shouting to sell their products, creating a disturbance in the coach.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the coach, making passengers feel uncomfortable.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were harassing passengers by demanding money aggressively.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were entering the train without any control, disturbing passengers.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars repeatedly asked for money, making it hard to relax.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs made passengers feel threatened by demanding money loudly.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers were making too much noise with their constant selling inside the train.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the reserved coach, disrupting the journey.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs boarded the train and forced passengers to give them money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were constantly shouting to sell their products, making it hard to sleep.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the train, disturbing passengers by asking for money.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs made passengers feel uncomfortable by aggressively demanding money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were selling goods in the coach, causing a lot of disturbance.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars were roaming the coach, asking for money repeatedly.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs harassed passengers by demanding money in a threatening manner.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were crowding the train with their goods, making it hard to move.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars kept disturbing passengers by persistently begging for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were harassing passengers by aggressively demanding money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were making too much noise, disturbing passengers trying to sleep.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars were roaming inside the reserved compartments, creating a nuisance.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs boarded the train and threatened passengers if they didn’t give money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were blocking the aisles with their goods, making it inconvenient for passengers.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars were constantly begging for money, making passengers feel uncomfortable.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were harassing passengers and creating an uncomfortable atmosphere.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were making too much noise with their loud sales, disturbing the journey.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the train, making passengers feel uneasy.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Eunuchs were forcefully demanding money from passengers, creating a nuisance.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers were disturbing passengers by selling items loudly in the coach.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the coach, making it hard for passengers to relax.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Eunuchs made threatening gestures to passengers, demanding money aggressively.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers entered the coach and created too much noise, disturbing passengers.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the compartment, begging persistently for money.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were creating a nuisance by threatening passengers for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were blocking the aisles with their goods, making it hard to move around.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars were disturbing passengers by constantly asking for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs harassed passengers by demanding money aggressively.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were entering the train and selling goods loudly, disturbing the journey.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the coach, creating an uncomfortable atmosphere for passengers.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs made passengers uncomfortable by threatening them for money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were selling items inside the train, causing a lot of disturbance.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars kept entering the reserved compartments, asking for money repeatedly.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Eunuchs were harassing passengers, forcing them to give money.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were blocking the aisles, making it difficult for passengers to move around.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Beggars were creating a nuisance by constantly begging for money inside the train.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs threatened passengers who refused to give them money.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“Hawkers were entering the coach and selling goods loudly, disturbing everyone.”",Security,Harassment/extortion by security Personal/railway person,,,,
"“Beggars were roaming inside the train, asking for money persistently.”",Security,Harassment/extortion by security Personal/railway person,,,,
“Eunuchs were harassing passengers and making the journey uncomfortable.”,Security,Harassment/extortion by security Personal/railway person,,,,
“Hawkers were creating too much noise with their constant selling inside the train.”,Security,Harassment/extortion by security Personal/railway person,,,,
"“A suitcase was left unattended near the train door, causing alarm among passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“I found an unclaimed bag in the coach and no one came to claim it.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying in the aisle, and it made passengers uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was a suspicious-looking parcel left behind in the luggage rack.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“Someone left a backpack under the seat, and it remained unclaimed for hours.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A large unclaimed bag was found near the washroom, causing discomfort to passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A suitcase was left behind after someone deboarded, and no one came to retrieve it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A package was left unattended in the coach, and it looked suspicious.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was an unclaimed bag at the coach entrance, and it caused concern among passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left a duffel bag in the luggage compartment, and it remained unclaimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was found near the door, and passengers felt uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was left under a seat without any owner, and it made passengers uncomfortable.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended parcel was left in the coach, raising security concerns.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was left behind in the train compartment, and no one claimed it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was lying in the aisle, making it difficult for passengers to move.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was a suspicious unclaimed package left near the coach entrance.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind, and it remained unclaimed throughout the journey.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was left in the coach, and it looked suspicious.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A suitcase was left behind by a passenger, and no one came to claim it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was found unclaimed in the overhead compartment, causing concern.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was an unclaimed package left behind in the luggage area.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A backpack was left unclaimed under a seat, and passengers were worried.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed bag was lying near the coach door, and it looked suspicious.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was a suitcase left behind by a passenger, and it was never claimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious unclaimed package was left in the luggage rack.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed backpack was found under a seat, and it made passengers nervous.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was an unattended bag left near the coach door, causing alarm.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A suitcase was left behind in the train compartment, and no one came to retrieve it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying in the aisle, making passengers uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind, and it remained unclaimed for the entire journey.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was found near the washroom, and it made passengers uncomfortable.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious-looking suitcase was left behind in the coach.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was a package left unclaimed under a seat, and it raised security concerns.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left a large bag in the luggage compartment, and it remained unclaimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was found near the train door, causing concern among passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was left unattended in the coach, and it made passengers nervous.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was an unclaimed package lying in the overhead compartment.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A backpack was left behind in the luggage rack, and no one claimed it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was found near the coach entrance, and passengers felt uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left unclaimed near the washroom.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was found under the seat, and passengers were concerned.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was left behind in the train, and it remained unclaimed for the entire journey.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying in the coach aisle, causing discomfort to passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was a suspicious bag left unattended in the luggage compartment.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A backpack was left unclaimed near the coach entrance, and it raised security concerns.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was found near the door, and no one came to retrieve it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left a bag behind in the coach, and it remained unclaimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying near the washroom, and passengers were worried.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was a suspicious unclaimed bag in the luggage compartment.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A suitcase was left behind near the coach entrance, and passengers felt uncomfortable.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was found in the coach, and no one claimed it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind, and it caused concern among passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying in the luggage rack, causing alarm.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was a suitcase left unattended in the coach, making passengers uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was left behind by a passenger, and it remained unclaimed for hours.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed backpack was found under the seat, causing concern.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left behind in the luggage area.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was lying near the washroom, and it made passengers nervous.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was a suitcase left unclaimed near the coach entrance, causing discomfort.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying in the aisle, and passengers felt uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A backpack was left behind in the luggage rack, and no one claimed it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed bag was found near the train door, and passengers were concerned.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left a suitcase behind in the coach, and it was never claimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was found near the washroom, and it looked suspicious.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was a bag left unclaimed under the seat, causing concern.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended suitcase was found near the coach door, making passengers nervous.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious unclaimed package was lying in the overhead compartment.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind, and it remained unclaimed throughout the journey.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed backpack was found near the washroom, causing alarm.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was an unattended bag left in the coach, making passengers uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left unclaimed in the luggage compartment.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was lying near the coach entrance, causing concern.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind in the train, and it remained unclaimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended package was found near the washroom, and it made passengers nervous.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A bag was left unclaimed in the luggage compartment, and no one came to retrieve it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was lying in the coach aisle, making passengers uncomfortable.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left unattended in the luggage rack.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed bag was found near the coach entrance, causing alarm.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left a suitcase behind, and it remained unclaimed for the entire journey.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was lying near the washroom, making passengers uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was a suspicious unclaimed package found near the train door.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was left under the seat, and no one claimed it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind in the coach, causing discomfort to passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was found near the washroom, raising security concerns.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“There was an unattended bag left behind in the luggage rack.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A suitcase was left unclaimed in the coach aisle, making passengers nervous.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed bag was lying under the seat, and no one came to retrieve it.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left unattended near the train door.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was found in the luggage rack, and it looked suspicious.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind, and it remained unclaimed throughout the journey.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unattended bag was lying near the coach door, causing concern.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left unclaimed in the luggage compartment.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was found under the seat, causing discomfort.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left a bag behind in the coach, and it was never claimed.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed package was lying near the washroom, and it looked suspicious.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“There was an unattended suitcase left in the coach, raising security concerns.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“A passenger left their luggage behind, and it remained unclaimed for hours.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed bag was found near the coach entrance, making passengers uneasy.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
“A suspicious package was left unattended in the luggage rack.”,Security,Luggage left behind/unclaimed/suspected articles,,,,
"“An unclaimed suitcase was lying in the aisle, causing concern among passengers.”",Security,Luggage left behind/unclaimed/suspected articles,,,,
"“My family member did not respond to calls after boarding the train, and I’m worried.”",Security,Passenger missing/not responding to calls,,,,
“A passenger has gone missing from the train and isn’t answering their phone.”,Security,Passenger missing/not responding to calls,,,,
"“We are trying to contact a passenger who boarded the train, but they are not answering.”",Security,Passenger missing/not responding to calls,,,,
"“My friend is not responding to calls after getting on the train, and we are concerned.”",Security,Passenger missing/not responding to calls,,,,
"“A passenger is missing, and we are unable to get in touch with them.”",Security,Passenger missing/not responding to calls,,,,
“The passenger we are waiting for is not answering any of our calls.”,Security,Passenger missing/not responding to calls,,,,
"“A traveler has gone missing from our group, and they’re not picking up their phone.”",Security,Passenger missing/not responding to calls,,,,
"“My relative boarded the train, but we can’t reach them, and they’re not responding.”",Security,Passenger missing/not responding to calls,,,,
“A passenger who was supposed to deboard at the last station is not responding to calls.”,Security,Passenger missing/not responding to calls,,,,
"“I am unable to contact my family member after they boarded the train, and they are missing.”",Security,Passenger missing/not responding to calls,,,,
"“We are trying to locate a passenger, but they have gone missing and are not responding to calls.”",Security,Passenger missing/not responding to calls,,,,
"“My friend is not answering any calls after boarding the train, and I am worried.”",Security,Passenger missing/not responding to calls,,,,
“A passenger from our group is missing and isn’t responding to phone calls.”,Security,Passenger missing/not responding to calls,,,,
“We are unable to reach a passenger who boarded the train; they are not answering calls.”,Security,Passenger missing/not responding to calls,,,,
“A passenger was supposed to get off at this station but is missing and unresponsive.”,Security,Passenger missing/not responding to calls,,,,
“My family member is not responding to calls after they boarded the train.”,Security,Passenger missing/not responding to calls,,,,
"“We are unable to contact a passenger, and they seem to have gone missing.”",Security,Passenger missing/not responding to calls,,,,
“A passenger is not answering phone calls after they boarded the train.”,Security,Passenger missing/not responding to calls,,,,
"“My friend is missing, and none of our calls are getting through to them.”",Security,Passenger missing/not responding to calls,,,,
"“A passenger is unresponsive after getting on the train, and we cannot reach them.”",Security,Passenger missing/not responding to calls,,,,
"“We are trying to get in touch with a passenger, but they are not answering calls.”",Security,Passenger missing/not responding to calls,,,,
"“A family member is missing, and they’re not responding to any calls after boarding.”",Security,Passenger missing/not responding to calls,,,,
"“A passenger who boarded earlier is missing, and we can’t get through to them.”",Security,Passenger missing/not responding to calls,,,,
"“My relative is not responding to calls, and we are unable to locate them.”",Security,Passenger missing/not responding to calls,,,,
“We are concerned about a missing passenger who is not answering their phone.”,Security,Passenger missing/not responding to calls,,,,
"“A traveler from our group has gone missing, and they are not responding to calls.”",Security,Passenger missing/not responding to calls,,,,
"“A passenger is not answering calls after boarding the train, and we are worried.”",Security,Passenger missing/not responding to calls,,,,
"“My friend has gone missing after boarding, and none of our calls are being answered.”",Security,Passenger missing/not responding to calls,,,,
